algorithm,basket_type,min_support,min_confidence,frequent_itemsets,number_of_rules,average_lift,runtime_seconds
Apriori,category,0.001,0.1,9.0,0,0,0.0146636962890625
Apriori,category,0.001,0.3,9.0,0,0,0.012812137603759766
Apriori,category,0.001,0.5,9.0,0,0,0.011511802673339844
Apriori,category,0.001,0.7,9.0,0,0,0.011990070343017578
Apriori,category,0.005,0.1,7.0,0,0,0.007406711578369141
Apriori,category,0.005,0.3,7.0,0,0,0.007892370223999023
Apriori,category,0.005,0.5,7.0,0,0,0.006937980651855469
Apriori,category,0.005,0.7,7.0,0,0,0.007881879806518555
Apriori,category,0.01,0.1,6.0,0,0,0.0055294036865234375
Apriori,category,0.01,0.3,6.0,0,0,0.005545616149902344
Apriori,category,0.01,0.5,6.0,0,0,0.006087303161621094
Apriori,category,0.01,0.7,6.0,0,0,0.007416248321533203
Apriori,category,0.02,0.1,5.0,0,0,0.0057179927825927734
Apriori,category,0.02,0.3,5.0,0,0,0.005477428436279297
Apriori,category,0.02,0.5,5.0,0,0,0.005476713180541992
Apriori,category,0.02,0.7,5.0,0,0,0.0044193267822265625
FP-Growth,category,0.001,0.1,9.0,0,0,0.2819974422454834
FP-Growth,category,0.001,0.3,9.0,0,0,0.2587859630584717
FP-Growth,category,0.001,0.5,9.0,0,0,0.4257054328918457
FP-Growth,category,0.001,0.7,9.0,0,0,0.4247574806213379
FP-Growth,category,0.005,0.1,7.0,0,0,0.3141443729400635
FP-Growth,category,0.005,0.3,7.0,0,0,0.30005526542663574
FP-Growth,category,0.005,0.5,7.0,0,0,0.24922418594360352
FP-Growth,category,0.005,0.7,7.0,0,0,0.26027846336364746
FP-Growth,category,0.01,0.1,6.0,0,0,0.25597286224365234
FP-Growth,category,0.01,0.3,6.0,0,0,0.2778127193450928
FP-Growth,category,0.01,0.5,6.0,0,0,0.2763524055480957
FP-Growth,category,0.01,0.7,6.0,0,0,0.24972200393676758
FP-Growth,category,0.02,0.1,5.0,0,0,0.23246002197265625
FP-Growth,category,0.02,0.3,5.0,0,0,0.26900649070739746
FP-Growth,category,0.02,0.5,5.0,0,0,0.24744057655334473
FP-Growth,category,0.02,0.7,5.0,0,0,0.2930593490600586
ECLAT-style,category,0.001,0.1,,0,0,0.03790688514709473
ECLAT-style,category,0.001,0.3,,0,0,0.028598546981811523
ECLAT-style,category,0.001,0.5,,0,0,0.033362388610839844
ECLAT-style,category,0.001,0.7,,0,0,0.04114866256713867
ECLAT-style,category,0.005,0.1,,0,0,0.042876243591308594
ECLAT-style,category,0.005,0.3,,0,0,0.036226749420166016
ECLAT-style,category,0.005,0.5,,0,0,0.029536962509155273
ECLAT-style,category,0.005,0.7,,0,0,0.033310890197753906
ECLAT-style,category,0.01,0.1,,0,0,0.03733706474304199
ECLAT-style,category,0.01,0.3,,0,0,0.040578603744506836
ECLAT-style,category,0.01,0.5,,0,0,0.04808688163757324
ECLAT-style,category,0.01,0.7,,0,0,0.0498964786529541
ECLAT-style,category,0.02,0.1,,0,0,0.04290270805358887
ECLAT-style,category,0.02,0.3,,0,0,0.03252768516540527
ECLAT-style,category,0.02,0.5,,0,0,0.03657054901123047
ECLAT-style,category,0.02,0.7,,0,0,0.037963151931762695
