experiment,system,precision_at_10,recall_at_10,hit_rate_at_10,coverage,runtime_seconds,n_users
Full Dataset,Most-Popular,0.0018242122719734,0.0149253731343283,0.0182421227197346,0.0004919939171661,0.27,603
Full Dataset,Category-Popular,0.0024875621890547,0.0196241017136539,0.0248756218905472,0.0043384918150102,0.11,603
Full Dataset,Apriori-only,0.0018242122719734,0.0149253731343283,0.0182421227197346,0.0006709007961356,0.39,603
Full Dataset,FP-Growth-only,0.0018242122719734,0.0149253731343283,0.0182421227197346,0.0006709007961356,0.4,603
Full Dataset,CF-only,0.0011608623548922,0.0099502487562189,0.011608623548922,0.0268807585651668,0.16,603
Full Dataset,Hybrid (RRF),0.0009950248756218,0.0074626865671641,0.0099502487562189,0.0542087843277574,0.19,603
Multi-Item Orders Only,Most-Popular,0.0125,0.0416666666666666,0.125,0.003379416282642,0.0,8
Multi-Item Orders Only,Category-Popular,0.0,0.0,0.0,0.0138248847926267,0.0,8
Multi-Item Orders Only,Apriori-only,0.0125,0.0416666666666666,0.125,0.003379416282642,0.0,8
Multi-Item Orders Only,FP-Growth-only,0.0125,0.0416666666666666,0.125,0.003379416282642,0.0,8
Multi-Item Orders Only,CF-only,0.025,0.125,0.25,0.0110599078341013,0.0,8
Multi-Item Orders Only,Hybrid (RRF),0.0125,0.0625,0.125,0.0218125960061443,0.0,8
