antecedents,consequents,antecedent support,consequent support,support,confidence,lift
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.003723651838553095,0.005917946671986169,0.0011303943081321897,0.3035714285714286,51.2967495987159
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.005917946671986169,0.003723651838553095,0.0011303943081321897,0.1910112359550562,51.2967495987159
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.010240042556021012,0.0073143161114435805,0.0022607886162643795,0.2207792207792208,30.184533648170014
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.0073143161114435805,0.010240042556021012,0.0022607886162643795,0.3090909090909091,30.18453364817001
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.005186515060841812,0.0073143161114435805,0.0007979253939756633,0.15384615384615383,21.03356643356643
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.0073143161114435805,0.005186515060841812,0.0007979253939756633,0.10909090909090909,21.03356643356643
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.030321164971075204,0.010173548773189706,0.001928319702107853,0.06359649122807018,6.2511609907120755
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.010173548773189706,0.030321164971075204,0.001928319702107853,0.18954248366013074,6.251160990712075
frozenset({'6c3effec7c8ddba466d4f03f982c7aa3'}),frozenset({'0aabfb375647d9738ad0f7b4ea3653b1'}),0.006250415586142696,0.009109648247888822,0.00033246891415652634,0.05319148936170213,5.8390277993477255
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.006649378283130527,0.023405811556619457,0.00039896269698783165,0.060000000000000005,2.563465909090909
