antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.003723651838553095,0.005917946671986169,0.0011303943081321897,0.3035714285714286,51.2967495987159,1.0,0.0011083579351265894,1.4273998714453533,0.984170294961741,0.1328125,0.2994254658385093,0.2472913322632424
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.005917946671986169,0.003723651838553095,0.0011303943081321897,0.1910112359550562,51.2967495987159,1.0,0.0011083579351265894,1.2315082636995665,0.9863427109974426,0.1328125,0.18798758443089436,0.2472913322632424
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.010240042556021012,0.0073143161114435805,0.0022607886162643795,0.2207792207792208,30.184533648170014,1.0,0.002185889708015007,1.2739466276569806,0.9768736785947163,0.14782608695652175,0.21503775881162177,0.2649350649350649
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.0073143161114435805,0.010240042556021012,0.0022607886162643795,0.3090909090909091,30.18453364817001,1.0,0.002185889708015007,1.4325473068268118,0.9739945546173457,0.14782608695652175,0.3019427733838214,0.2649350649350649
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.005186515060841812,0.0073143161114435805,0.0007979253939756633,0.15384615384615383,21.03356643356643,1.0,0.0007599895833039032,1.1731739900501121,0.9574226321769934,0.06818181818181818,0.1476115150172354,0.13146853146853146
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.0073143161114435805,0.005186515060841812,0.0007979253939756633,0.10909090909090909,21.03356643356643,1.0,0.0007599895833039032,1.1166273810541572,0.9594748476120303,0.06818181818181818,0.10444610532839929,0.13146853146853146
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.030321164971075204,0.010173548773189706,0.001928319702107853,0.06359649122807018,6.2511609907120755,1.0,0.001619845851414688,1.0570511984998257,0.8662968454057275,0.05000000000000001,0.0539720295296888,0.12656948744410046
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.010173548773189706,0.030321164971075204,0.001928319702107853,0.18954248366013074,6.251160990712075,1.0,0.001619845851414688,1.196458562576012,0.8486636367426927,0.05000000000000001,0.1642000556651379,0.12656948744410046
frozenset({'6c3effec7c8ddba466d4f03f982c7aa3'}),frozenset({'0aabfb375647d9738ad0f7b4ea3653b1'}),0.006250415586142696,0.009109648247888822,0.00033246891415652634,0.05319148936170213,5.8390277993477255,1.0,0.0002755298267636446,1.0465583490415555,0.8339511542321848,0.022123893805309734,0.044487102973469216,0.04484391986333282
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.006649378283130527,0.023405811556619457,0.00039896269698783165,0.060000000000000005,2.563465909090909,1.0,0.0002433286019242007,1.038929987705724,0.6139857643304996,0.013452914798206277,0.03747123306325322,0.03852272727272728
